sample_name	dog
10317.000101119	Yes
10317.000096989	Yes
10317.000101262	Yes
10317.000101132	Yes
10317.000101124	Yes
10317.000098379	Yes
10317.000101100	Yes
10317.000101404	Yes
10317.000101112	Yes
10317.000101145	Yes
10317.000101242	Yes
10317.000096909	Yes
10317.000098435	Yes
10317.000096861	Yes
10317.000097005	Yes
10317.000101076	Yes
10317.000101389	Yes
10317.000101114	Yes
10317.000101074	Yes
10317.000101386	No
10317.000101133	No
10317.000101174	No
10317.000101175	No
10317.000101104	No
10317.000101096	No
10317.000100524	No
10317.000101103	No
10317.000092644	No
10317.000035779	No
10317.000100515	No
10317.000101073	No
10317.000103679	No
10317.000101084	No
10317.000101198	No
10317.000087047	No
10317.000102791	No
10317.000101250	No
10317.000094753	No
10317.000101078	No
10317.000075986	not provided
10317.000101094	not provided
10317.000101178	not provided
10317.000101180	not provided
10317.000101211	not provided
10317.000101212	not provided
10317.000101251	not provided
10317.000101252	not provided
10317.000102740	not provided
10317.000102741	not provided
