genome_id	dog	bin_idx	read_hits	sample_hits	samples	bin_start	bin_stop
G000154205	No	1	129	19	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101073,10317.000101078,10317.000101084,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101175,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	0	4719
G000154205	Yes	1	85	17	[10317.000096861,10317.000096989,10317.000098379,10317.000098435,10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101262,10317.000101389,10317.000101404]	0	4719
G000154205	not provided	1	62	10	[10317.000075986,10317.000101094,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	0	4719
G000154205	No	2	70	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	4719	9439
G000154205	Yes	2	56	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101242,10317.000101404]	4719	9439
G000154205	not provided	2	47	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	4719	9439
G000154205	No	3	93	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101084,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	9439	14159
G000154205	Yes	3	62	11	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	9439	14159
G000154205	not provided	3	53	10	[10317.000075986,10317.000101094,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	9439	14159
G000154205	No	4	80	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	14159	18878
G000154205	Yes	4	55	11	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	14159	18878
G000154205	not provided	4	48	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	14159	18878
G000154205	No	5	91	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	18878	23598
G000154205	Yes	5	54	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	18878	23598
G000154205	not provided	5	60	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	18878	23598
G000154205	No	6	90	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	23598	28318
G000154205	Yes	6	38	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101242,10317.000101404]	23598	28318
G000154205	not provided	6	46	10	[10317.000075986,10317.000101094,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	23598	28318
G000154205	No	7	98	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	28318	33038
G000154205	Yes	7	49	11	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	28318	33038
G000154205	not provided	7	37	9	[10317.000075986,10317.000101094,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000102740,10317.000102741]	28318	33038
G000154205	No	8	92	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	33038	37757
G000154205	Yes	8	55	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	33038	37757
G000154205	not provided	8	64	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	33038	37757
G000154205	No	9	89	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	37757	42477
G000154205	Yes	9	51	11	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	37757	42477
G000154205	not provided	9	54	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	37757	42477
G000154205	No	10	83	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	42477	47197
G000154205	Yes	10	50	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101242,10317.000101404]	42477	47197
G000154205	not provided	10	43	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	42477	47197
G000154205	No	11	93	15	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	47197	51917
G000154205	Yes	11	55	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	47197	51917
G000154205	not provided	11	53	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	47197	51917
G000154205	No	12	88	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	51917	56636
G000154205	Yes	12	40	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	51917	56636
G000154205	not provided	12	50	10	[10317.000075986,10317.000101094,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	51917	56636
G000154205	No	13	86	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	56636	61356
G000154205	Yes	13	48	10	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101242,10317.000101404]	56636	61356
G000154205	not provided	13	47	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	56636	61356
G000154205	No	14	76	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	61356	66076
G000154205	Yes	14	54	9	[10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	61356	66076
G000154205	not provided	14	48	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	61356	66076
G000154205	No	15	95	14	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	66076	70796
G000154205	Yes	15	42	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	66076	70796
G000154205	not provided	15	50	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	66076	70796
G000154205	No	16	97	14	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101174,10317.000101198,10317.000101250,10317.000102791,10317.000103679]	70796	75515
G000154205	Yes	16	50	10	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101404]	70796	75515
G000154205	not provided	16	57	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	70796	75515
G000154205	No	17	20	11	[10317.000035779,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101104,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	75515	80235
G000154205	Yes	17	15	3	[10317.000101076,10317.000101112,10317.000101114]	75515	80235
G000154205	not provided	17	10	3	[10317.000075986,10317.000101211,10317.000102741]	75515	80235
G000154205	No	18	20	4	[10317.000094753,10317.000101078,10317.000101104,10317.000102791]	80235	84955
G000154205	Yes	18	16	5	[10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119]	80235	84955
G000154205	not provided	18	2	2	[10317.000075986,10317.000102741]	80235	84955
G000154205	No	19	13	3	[10317.000094753,10317.000101078,10317.000102791]	84955	89675
G000154205	Yes	19	20	4	[10317.000101076,10317.000101100,10317.000101112,10317.000101114]	84955	89675
G000154205	No	20	15	4	[10317.000094753,10317.000101078,10317.000101104,10317.000102791]	89675	94394
G000154205	Yes	20	23	5	[10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101145]	89675	94394
G000154205	not provided	20	5	3	[10317.000075986,10317.000101180,10317.000102741]	89675	94394
G000154205	No	21	18	9	[10317.000035779,10317.000092644,10317.000100515,10317.000101078,10317.000101096,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	94394	99114
G000154205	Yes	21	28	8	[10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101145,10317.000101404]	94394	99114
G000154205	not provided	21	13	8	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	94394	99114
G000154205	No	22	93	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101133,10317.000101174,10317.000101175,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	99114	103834
G000154205	Yes	22	47	12	[10317.000101074,10317.000101076,10317.000101100,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101262,10317.000101404]	99114	103834
G000154205	not provided	22	59	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	99114	103834
G000154205	No	23	96	16	[10317.000035779,10317.000092644,10317.000094753,10317.000100515,10317.000100524,10317.000101078,10317.000101096,10317.000101103,10317.000101104,10317.000101133,10317.000101174,10317.000101198,10317.000101250,10317.000101386,10317.000102791,10317.000103679]	103834	108553
G000154205	Yes	23	61	11	[10317.000101074,10317.000101076,10317.000101112,10317.000101114,10317.000101119,10317.000101124,10317.000101132,10317.000101145,10317.000101242,10317.000101262,10317.000101404]	103834	108553
G000154205	not provided	23	54	9	[10317.000075986,10317.000101178,10317.000101180,10317.000101211,10317.000101212,10317.000101251,10317.000101252,10317.000102740,10317.000102741]	103834	108553
